"Statistic Label","Year","Gross Vehicle Weight","Fuel Type","Type of Carriage","Licensing Authority","UNIT","VALUE"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Wicklow","Number","0"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Westmeath","Number","1"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Wexford","Number","1"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Ireland","Number","20"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Clare","Number","6"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Cork","Number","44"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Cavan","Number","9"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Carlow","Number","6"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Donegal","Number","5"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Dublin","Number","170"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Galway","Number","57"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Kildare","Number","107"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Kilkenny","Number","7"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Kerry","Number","4"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Longford","Number","5"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Louth","Number","14"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Limerick","Number","10"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Leitrim","Number","1"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Laois","Number","7"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Meath","Number","21"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Monaghan","Number","6"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Mayo","Number","6"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Offaly","Number","1"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Roscommon","Number","3"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Sligo","Number","2"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Tipperary","Number","15"
"Goods vehicles","2023","All vehicle weights","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Waterford","Number","3"
